Gıda,Kod,Gruplar,Grup Linkleri,Gıda Linki
"Çağ, kök",08.01.0101,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-cag-kok-729
"Çam fıstığı, kuru",07.02.0008,Yağlı tohumlar ve kuru baklagiller,https://turkomp.tarimorman.gov.tr/?type=foods&group=7,https://turkomp.tarimorman.gov.tr/food-cam-fistigi-kuru-166
Çavdar,06.01.0005,Tahıl ve tahıl ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=6,https://turkomp.tarimorman.gov.tr/food-cavdar-123
Çavdar unu,06.02.0008,Tahıl ve tahıl ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=6,https://turkomp.tarimorman.gov.tr/food-cavdar-unu-125
"Çay, kuşburnu",11.02.0018,İçecekler,https://turkomp.tarimorman.gov.tr/?type=foods&group=11,https://turkomp.tarimorman.gov.tr/food-cay-kusburnu-398
"Çay, siyah, kuru",11.02.0002,İçecekler,https://turkomp.tarimorman.gov.tr/?type=foods&group=11,https://turkomp.tarimorman.gov.tr/food-cay-siyah-kuru-411
"Ceviz, iç, kuru",09.01.0010,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-ceviz-ic-kuru-400
"Ceviz, Pikan, kuru",09.01.0011,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-ceviz-pikan-kuru-402
"Çikolata, beyaz",10.02.0003,Şeker ve şekerli ürünler,https://turkomp.tarimorman.gov.tr/?type=foods&group=10,https://turkomp.tarimorman.gov.tr/food-cikolata-beyaz-291
"Çikolata, bitter",10.02.0004,Şeker ve şekerli ürünler,https://turkomp.tarimorman.gov.tr/?type=foods&group=10,https://turkomp.tarimorman.gov.tr/food-cikolata-bitter-292
"Çikolata, sütlü",10.02.0005,Şeker ve şekerli ürünler,https://turkomp.tarimorman.gov.tr/?type=foods&group=10,https://turkomp.tarimorman.gov.tr/food-cikolata-sutlu-293
"Çikolata, sütlü, fındıklı",10.02.0016,Şeker ve şekerli ürünler,https://turkomp.tarimorman.gov.tr/?type=foods&group=10,https://turkomp.tarimorman.gov.tr/food-cikolata-sutlu-findikli-760
"Çikolata, sütlü, fruktozlu, diyabetik",13.02.0002,Özel beslenme amaçlı gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=14,https://turkomp.tarimorman.gov.tr/food-cikolata-sutlu-fruktozlu-diyabetik-645
"Çikolata, sütlü, tatlandırıcılı, diyabetik",13.02.0003,Özel beslenme amaçlı gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=14,https://turkomp.tarimorman.gov.tr/food-cikolata-sutlu-tatlandiricili-diyabetik-646
Çilek,09.01.0012,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-cilek-377
Çilek suyu,09.02.0056,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-cilek-suyu-378
"Çilek, dondurulmuş",09.02.0012,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-cilek-dondurulmus-380
Çıntar mantarı,08.01.0103,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-cintar-mantari-735
"Cips, mısır",12.02.0030,Muhtelif gıda,https://turkomp.tarimorman.gov.tr/?type=foods&group=12,https://turkomp.tarimorman.gov.tr/food-cips-misir-668
"Cips, patates",12.02.0031,Muhtelif gıda,https://turkomp.tarimorman.gov.tr/?type=foods&group=12,https://turkomp.tarimorman.gov.tr/food-cips-patates-669
"Çipura, yetiştirme",04.01.0004,Balık ve su ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=4,https://turkomp.tarimorman.gov.tr/food-cipura-yetistirme-511
Çiriş,08.01.0080,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-ciris-706
Çoban çantası,08.01.0075,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-coban-cantasi-707
"Çökelek, Çorum",12.02.0093,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-cokelek-corum-552
"Çökelek, Mersin",12.02.0044,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-cokelek-mersin-456
Çörek otu,12.02.0003,Muhtelif gıda,https://turkomp.tarimorman.gov.tr/?type=foods&group=12,https://turkomp.tarimorman.gov.tr/food-corek-otu-444
Çorum leblebisi,12.02.0069,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-corum-leblebisi-499
"Çöven, kök",08.01.0102,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-coven-kok-730
"Çubuk turşusu, salatalık, Ankara",12.02.0109,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-cubuk-tursusu-salatalik-ankara-574
"Dana eti, bonfile",03.01.0004,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-dana-eti-bonfile-41
"Dana eti, but",03.01.0006,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-dana-eti-but-45
"Dana eti, kol",03.01.0012,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-dana-eti-kol-44
"Dana eti, kontrfile",03.01.0013,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-dana-eti-kontrfile-42
"Dana eti, pirzola",03.01.0014,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-dana-eti-pirzola-43
Deli kereviz,08.01.0082,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-deli-kereviz-709
Deli maydanoz,08.01.0087,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-deli-maydanoz-714
Deniz börülcesi,08.01.0083,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-deniz-borulcesi-710
Denizli leblebisi,12.02.0115,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-denizli-leblebisi-583
Dereotu,08.01.0013,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-dereotu-255
"Devekuşu eti, but",03.01.0015,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-devekusu-eti-but-59
"Devekuşu eti, göğüs",03.01.0016,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-devekusu-eti-gogus-58
Dikenucu,08.01.0095,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-dikenucu-722
"Doğal zengin mineralli gazlı içecek, limon aromalı",11.02.0019,İçecekler,https://turkomp.tarimorman.gov.tr/?type=foods&group=11,https://turkomp.tarimorman.gov.tr/food-dogal-zengin-mineralli-gazli-icecek-limon-aromali-759
Dolambaç,08.01.0093,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-dolambac-720
Domates salçası,08.02.0033,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-domates-salcasi-170
Domates suyu,08.02.0034,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-domates-suyu-172
"Domates, doğranmış, konserve",08.02.0035,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-domates-dogranmis-konserve-171
"Domates, kuru",08.02.0001,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-domates-kuru-173
"Domates, sofralık",08.01.0015,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-domates-sofralik-168
"Domates, sofralık, kiraz",08.01.0014,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-domates-sofralik-kiraz-169
"Dondurma, yanıksı, Antalya",12.02.0113,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-dondurma-yaniksi-antalya-580
"Döner, et, Kastamonu, pişmiş",12.02.0129,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-doner-et-kastamonu-pismis-604
"Döner, et, pişmiş, Bursa",12.02.0135,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-doner-et-pismis-bursa-615
"Döner, kıyma, çiğ",03.02.0001,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-doner-kiyma-cig-77
"Döner, piliç eti, çiğ",03.02.0002,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-doner-pilic-eti-cig-78
"Dut, beyaz, kuru",09.02.0015,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-dut-beyaz-kuru-373
"Dut, beyaz, sofralık",09.01.0013,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-dut-beyaz-sofralik-371
Ebegümeci,08.01.0016,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-ebegumeci-279
Ecibücü,08.01.0086,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-ecibucu-713
Edirne beyaz peyniri,12.02.0100,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-edirne-beyaz-peyniri-563
"Ekmek, beyaz",06.02.0009,Tahıl ve tahıl ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=6,https://turkomp.tarimorman.gov.tr/food-ekmek-beyaz-126
"Ekmek, beyaz, tuzsuz",13.02.0021,Özel beslenme amaçlı gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=14,https://turkomp.tarimorman.gov.tr/food-ekmek-beyaz-tuzsuz-660
"Ekmek, çavdar",06.02.0007,Tahıl ve tahıl ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=6,https://turkomp.tarimorman.gov.tr/food-ekmek-cavdar-124
"Ekmek, glutensiz, PKU",13.02.0004,Özel beslenme amaçlı gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=14,https://turkomp.tarimorman.gov.tr/food-ekmek-glutensiz-pku-649
"Ekmek, kepekli",06.02.0013,Tahıl ve tahıl ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=6,https://turkomp.tarimorman.gov.tr/food-ekmek-kepekli-127
"Ekmek, mısır",06.02.0018,Tahıl ve tahıl ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=6,https://turkomp.tarimorman.gov.tr/food-ekmek-misir-139
"Ekmek, tam buğday unlu",06.02.0027,Tahıl ve tahıl ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=6,https://turkomp.tarimorman.gov.tr/food-ekmek-tam-bugday-unlu-128
"Ekmek, yulaf",06.02.0031,Tahıl ve tahıl ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=6,https://turkomp.tarimorman.gov.tr/food-ekmek-yulaf-150
Elma suyu,09.02.0018,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-elma-suyu-334
"Elma, güzlük ve kışlık, Fuji çeşidi",09.01.0064,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-elma-guzluk-ve-kislik-fuji-cesidi-333
"Elma, kuru",09.02.0017,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-elma-kuru-335
"Elma, yazlık, Gala çeşidi",09.01.0015,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-elma-yazlik-gala-cesidi-332
"Emülsifiye Et  ürünü, sosis,  dana",03.02.0014,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-emulsifiye-et-urunu-sosis-dana-765
"Emülsifiye Et  ürünü, sosis,  Hindi",03.02.0006,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-emulsifiye-et-urunu-sosis-hindi-742
"Emülsifiye Et  ürünü, sosis,  Piliç",03.02.0004,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-emulsifiye-et-urunu-sosis-pilic-740
"Emülsifiye et ürünü, salam, dana",03.02.0003,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-emulsifiye-et-urunu-salam-dana-697
"Emülsifiye et ürünü, salam, hindi",03.02.0009,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-emulsifiye-et-urunu-salam-hindi-745
"Emülsifiye et ürünü, salam, piliç",03.02.0007,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-emulsifiye-et-urunu-salam-pilic-743
Enginar,08.01.0017,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-enginar-241
"Enginar, dondurulmuş",08.02.0030,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-enginar-dondurulmus-243
"Enginar, konserve",08.02.0031,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-enginar-konserve-242
"Erik, Avrupa erik grubu, kuru",09.02.0006,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-erik-avrupa-erik-grubu-kuru-343
"Erik, Avrupa erik Grubu, Stanley çeşidi",09.01.0016,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-erik-avrupa-erik-grubu-stanley-cesidi-341
"Erik, Japon erik grubu, Black Amber çeşidi",09.01.0017,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-erik-japon-erik-grubu-black-amber-cesidi-340
"Eritme Peyniri, sade, tam yağlı",01.02.0024,Süt ve süt ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=1,https://turkomp.tarimorman.gov.tr/food-eritme-peyniri-sade-tam-yagli-750
Erzincan tulum peyniri,12.02.0091,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-erzincan-tulum-peyniri-547
Eşek turpu,08.01.0076,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-esek-turpu-702
"Eski kaşar, Kars",12.02.0088,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-eski-kasar-kars-544
"Et suyu, tablet (bulyon)",12.02.0001,Muhtelif gıda,https://turkomp.tarimorman.gov.tr/?type=foods&group=12,https://turkomp.tarimorman.gov.tr/food-et-suyu-tablet-bulyon-433
Ezine peyniri,12.02.0120,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-ezine-peyniri-591
Fasulye,08.01.0018,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-fasulye-206
"Fasulye, dermason, kuru",08.02.0026,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-fasulye-dermason-kuru-210
"Fasulye, dondurulmuş",08.02.0027,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-fasulye-dondurulmus-207
"Fasulye, konserve",08.02.0028,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-fasulye-konserve-208
"Fındık ezmesi, şeker ilaveli",10.02.0015,"Meyve ve meyve ürünleri, Şeker ve şekerli ürünler","https://turkomp.tarimorman.gov.tr/?type=foods&group=9, https://turkomp.tarimorman.gov.tr/?type=foods&group=10",https://turkomp.tarimorman.gov.tr/food-findik-ezmesi-seker-ilaveli-409
"Fındık iç, beyazlatılmış",09.02.0010,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-findik-ic-beyazlatilmis-407
"Fındık kreması, kakaolu",10.02.0014,"Meyve ve meyve ürünleri, Şeker ve şekerli ürünler","https://turkomp.tarimorman.gov.tr/?type=foods&group=9, https://turkomp.tarimorman.gov.tr/?type=foods&group=10",https://turkomp.tarimorman.gov.tr/food-findik-kremasi-kakaolu-607
Fındık yağı,05.02.0004,Sıvı ve katı yağlar,https://turkomp.tarimorman.gov.tr/?type=foods&group=5,https://turkomp.tarimorman.gov.tr/food-findik-yagi-106
"Fındık, iç, kavrulmuş",09.02.0057,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-findik-ic-kavrulmus-685
"Galeta, sade",06.02.0023,Tahıl ve tahıl ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=6,https://turkomp.tarimorman.gov.tr/food-galeta-sade-665
Geleboru,09.01.0019,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-geleboru-506
"Gofret, kakao kremalı, sütlü çikolata kaplamalı",10.02.0007,Şeker ve şekerli ürünler,https://turkomp.tarimorman.gov.tr/?type=foods&group=10,https://turkomp.tarimorman.gov.tr/food-gofret-kakao-kremali-sutlu-cikolata-kaplamali-296
"Gofret, kremalı, vanilya aromalı",10.02.0008,Şeker ve şekerli ürünler,https://turkomp.tarimorman.gov.tr/?type=foods&group=10,https://turkomp.tarimorman.gov.tr/food-gofret-kremali-vanilya-aromali-295
"Greyfurt, Altıntop, Rio Red",09.01.0020,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-greyfurt-altintop-rio-red-313
"Greyfurt, Altıntop, Star Ruby",09.01.0021,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-greyfurt-altintop-star-ruby-312
"Güllaç, yaprak, İstanbul",12.02.0046,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-gullac-yaprak-istanbul-468
Gümüşhane dut pestili,12.02.0105,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-gumushane-dut-pestili-568
Hamsi,04.01.0005,Balık ve su ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=4,https://turkomp.tarimorman.gov.tr/food-hamsi-81
"Hamsi, konserve, ayçiçek yağında",04.02.0001,Balık ve su ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=4,https://turkomp.tarimorman.gov.tr/food-hamsi-konserve-aycicek-yaginda-512
"Hardal, katkısız",12.02.0034,Muhtelif gıda,https://turkomp.tarimorman.gov.tr/?type=foods&group=12,https://turkomp.tarimorman.gov.tr/food-hardal-katkisiz-672
"Hardaliye, Kırklareli",12.02.0047,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-hardaliye-kirklareli-602
"Haşhaş tohumu, kuru",07.01.0001,Yağlı tohumlar ve kuru baklagiller,https://turkomp.tarimorman.gov.tr/?type=foods&group=7,https://turkomp.tarimorman.gov.tr/food-hashas-tohumu-kuru-162
"Havuç, siyah",08.01.0019,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-havuc-siyah-259
"Havuç, turuncu",08.01.0020,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-havuc-turuncu-258
Helevan,08.01.0091,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-helevan-718
"Hindi eti, but, derisiz",03.01.0017,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-hindi-eti-but-derisiz-63
"Hindi eti, göğüs fileto, derisiz",03.01.0018,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-hindi-eti-gogus-fileto-derisiz-62
Hindiba,08.01.0092,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-hindiba-719
"Hindistan cevizi, kuru, rende",12.02.0008,Muhtelif gıda,https://turkomp.tarimorman.gov.tr/?type=foods&group=12,https://turkomp.tarimorman.gov.tr/food-hindistan-cevizi-kuru-rende-441
"Hurma, kuru",09.02.0022,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-hurma-kuru-320
"İğde, kültür, kuru",09.02.0023,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-igde-kultur-kuru-408
"Ihlamur, kurutulmuş",12.02.0039,Muhtelif gıda,https://turkomp.tarimorman.gov.tr/?type=foods&group=12,https://turkomp.tarimorman.gov.tr/food-ihlamur-kurutulmus-698
"İncir, Bursa Siyahı",09.01.0022,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-incir-bursa-siyahi-367
"İncir, kuru, Aydın, dağlık kesim",12.02.0083,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-incir-kuru-aydin-daglik-kesim-530
"İncir, kuru, Aydın, ovalık kesim",12.02.0059,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-incir-kuru-aydin-ovalik-kesim-461
"İncir, kuru, İzmir",12.02.0082,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-incir-kuru-izmir-529
"İrmik, buğday",06.02.0025,Tahıl ve tahıl ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=6,https://turkomp.tarimorman.gov.tr/food-irmik-bugday-606
"Isıl işlem görmüş sucuk, dana",03.02.0005,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-isil-islem-gormus-sucuk-dana-741
"Isıl işlem görmüş sucuk, Hindi",03.02.0008,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-isil-islem-gormus-sucuk-hindi-744
"Isıl işlem görmüş sucuk, piliç",03.02.0013,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-isil-islem-gormus-sucuk-pilic-764
Isırgan,08.01.0022,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-isirgan-278
"İskilip turşusu, salatalık, Çorum",12.02.0114,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-iskilip-tursusu-salatalik-corum-582
Ispanak,08.01.0023,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-ispanak-268
"Ispanak, dondurulmuş",08.02.0021,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-ispanak-dondurulmus-270
İstavrit,04.01.0006,Balık ve su ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=4,https://turkomp.tarimorman.gov.tr/food-istavrit-83
İzmit pişmaniyesi,12.02.0053,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-izmit-pismaniyesi-496
İzotonik sporcu içeceği,13.02.0023,Özel beslenme amaçlı gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=14,https://turkomp.tarimorman.gov.tr/food-izotonik-sporcu-icecegi-653
"Jambon, dana",03.02.0011,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-jambon-dana-762
"Jambon, piliç",03.02.0012,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-jambon-pilic-763
"Jöle, toz",12.02.0035,Muhtelif gıda,https://turkomp.tarimorman.gov.tr/?type=foods&group=12,https://turkomp.tarimorman.gov.tr/food-jole-toz-673
"Kabak çekirdeği, kuru",07.02.0009,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-kabak-cekirdegi-kuru-202
